altitude,aptarea,aptdia,bitpix,bscale,bzero,ccd-temp,date-obs,exposure,exptime,file,filter,flipstat,focallen,history,imagetyp,instrume,jd-obs,latitude,longitud,lst,mjd-obs,naxis,naxis1,naxis2,notes,objctdec,objctra,oscan,oscanax,oscanst,purged,readoutm,set-temp,simple,sitelat,sitelong,swcreate,swowner,telescop,xbinning,xorgsubf,xpixsz,ybinning,yorgsubf,ypixsz,a_0_2,a_1_1,a_2_0,a_order,airmass,alt-obj,ap_0_1,ap_0_2,ap_1_0,ap_1_1,ap_2_0,ap_order,az-obj,b_0_2,b_1_1,b_2_0,b_order,bp_0_1,bp_0_2,bp_1_0,bp_1_1,bp_2_0,bp_order,cd1_1,cd1_2,cd2_1,cd2_2,comment,crpix1,crpix2,crval1,crval2,ctype1,ctype2,cunit1,cunit2,date,dec,equinox,ha,imageh,imagew,latpole,lonpole,ra,secz,wcsaxes
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.71176725,2013-07-04T05:03:32,0.0,0.0,flood-flat-001bias.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:33.086639 -----,BIAS,Apogee USB/Net,2456477.71079,+46:52:00.41,-96:27:11.80,17:27:13.74,56477.210787,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.73062675,2013-07-04T05:02:18,15.0,15.0,flood-flat-001R.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:35.068641 -----,FLAT,Apogee USB/Net,2456477.70993,+46:52:00.41,-96:27:11.80,17:25:59.54,56477.2099306,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.7023375,2013-07-04T05:05:31,0.0,0.0,flood-flat-002bias.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:38.320328 -----,BIAS,Apogee USB/Net,2456477.71216,+46:52:00.41,-96:27:11.80,17:29:13.07,56477.2121644,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.645759,2013-07-04T05:04:16,15.0,15.0,flood-flat-002R.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:40.891866 -----,FLAT,Apogee USB/Net,2456477.7113,+46:52:00.41,-96:27:11.80,17:27:57.86,56477.2112963,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.71805375,2013-07-04T05:07:28,0.0,0.0,flood-flat-003bias.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:44.395303 -----,BIAS,Apogee USB/Net,2456477.71352,+46:52:00.41,-96:27:11.80,17:31:10.39,56477.2135185,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.7023375,2013-07-04T05:06:14,15.0,15.0,flood-flat-003R.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:46.363426 -----,FLAT,Apogee USB/Net,2456477.71266,+46:52:00.41,-96:27:11.80,17:29:56.19,56477.212662,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.73691325,2013-07-04T05:09:26,0.0,0.0,flood-flat-004bias.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:49.534787 -----,BIAS,Apogee USB/Net,2456477.71488,+46:52:00.41,-96:27:11.80,17:33:08.71,56477.2148843,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.73062675,2013-07-04T05:08:11,15.0,15.0,flood-flat-004R.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:51.774313 -----,FLAT,Apogee USB/Net,2456477.71402,+46:52:00.41,-96:27:11.80,17:31:53.51,56477.2140162,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.7652025,2013-07-04T05:11:21,0.0,0.0,flood-flat-005bias.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:54.965323 -----,BIAS,Apogee USB/Net,2456477.71622,+46:52:00.41,-96:27:11.80,17:35:04.03,56477.2162153,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.7023375,2013-07-04T05:10:07,15.0,15.0,flood-flat-005R.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:56.846884 -----,FLAT,Apogee USB/Net,2456477.71536,+46:52:00.41,-96:27:11.80,17:33:49.83,56477.2153588,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.771489,2013-07-04T05:13:19,0.0,0.0,flood-flat-006bias.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:38:59.773661 -----,BIAS,Apogee USB/Net,2456477.71758,+46:52:00.41,-96:27:11.80,17:37:02.35,56477.217581,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.78091875,2013-07-04T05:12:04,15.0,15.0,flood-flat-006R.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:39:02.135966 -----,FLAT,Apogee USB/Net,2456477.71671,+46:52:00.41,-96:27:11.80,17:35:47.15,56477.216713,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.78720525,2013-07-04T05:15:16,0.0,0.0,flood-flat-007bias.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:39:05.254878 -----,BIAS,Apogee USB/Net,2456477.71894,+46:52:00.41,-96:27:11.80,17:38:59.67,56477.2189352,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.7777755,2013-07-04T05:14:01,15.0,15.0,flood-flat-007R.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:39:07.771778 -----,FLAT,Apogee USB/Net,2456477.71807,+46:52:00.41,-96:27:11.80,17:37:44.47,56477.2180671,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.8154945,2013-07-04T05:17:14,0.0,0.0,flood-flat-008bias.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:39:11.324326 -----,BIAS,Apogee USB/Net,2456477.7203,+46:52:00.41,-96:27:11.80,17:40:57.99,56477.2203009,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.78720525,2013-07-04T05:15:59,15.0,15.0,flood-flat-008R.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:39:13.678919 -----,FLAT,Apogee USB/Net,2456477.71943,+46:52:00.41,-96:27:11.80,17:39:42.79,56477.2194329,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.7903485,2013-07-04T05:19:12,0.0,0.0,flood-flat-009bias.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:39:16.791145 -----,BIAS,Apogee USB/Net,2456477.72167,+46:52:00.41,-96:27:11.80,17:42:56.32,56477.2216667,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.79977825,2013-07-04T05:17:57,15.0,15.0,flood-flat-009R.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:39:18.721559 -----,FLAT,Apogee USB/Net,2456477.7208,+46:52:00.41,-96:27:11.80,17:41:41.11,56477.2207986,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.771489,2013-07-04T05:21:09,0.0,0.0,flood-flat-010bias.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:39:22.047588 -----,BIAS,Apogee USB/Net,2456477.72302,+46:52:00.41,-96:27:11.80,17:44:53.64,56477.2230208,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311.8,129717.114362,406.399993896,16,1.0,32768.0,-18.7777755,2013-07-04T05:19:54,15.0,15.0,flood-flat-010R.fit,R,,3325.0,----- END patch_headers history on 2013-10-25 09:39:24.296908 -----,FLAT,Apogee USB/Net,2456477.72215,+46:52:00.41,-96:27:11.80,17:43:38.43,56477.2221528,2,3085,2048,,,,True,1,3073,True,Monochrome,-27.2000007629,True,+46:52:00.41,-96:27:11.80,MaxIm DL Version 5.21 130912 01A17,MNState Physics-1,FEDER,1,0,9.0,1,0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
